TRANSIENT_NAME RA DEC mag_r e_mag_r specz Survey "Exposure Time"
DES13C3avkj 51.97076 -27.52792 24.08 0.05 c OzDES -
DES13X3gms 35.80095 -4.49384 23.02 0.06 0.64792 OzDES 6.58
DES13C1tgd 54.06436 -27.63867 20.31 0.06 0.19647 OzDES 10.17
DES13C3abtt 52.62108 -28.16151 21.51 0.04 d - -
DES13S2wxf 41.61268 -0.02634 21.31 0.03 0.56985 OzDES 5.42
DES13X1hav 35.03245 -5.11022 23.63 0.08 0.58236 OzDES 4.0
DES13C3smn 51.97112 -28.08362 25.3 0.06 c OzDES -
DES13X3nyg 36.99228 -3.91327 23.39 0.06 0.71205 OzDES 45.5
DES13X3gmd 36.50409 -4.21949 22.91 0.05 0.78082 OzDES 13.92
DES13C3bcok 53.02711 -28.62476 18.62 0.03 0.34577 LADUMA -
DES13X3afjd 37.00386 -4.58049 20.75 0.06 d - -
DES13C1acmt 54.32925 -26.83371 23.19 0.04 c OzDES -
DES13X3kgm 36.5038 -4.86636 26.47 0.19 d - -
DES13C3uig 52.94416 -27.58544 22.18 0.03 0.67346 ACES -
DES13C3nxi 51.96356 -28.3572 24.99 0.05 c OzDES -
DES13C3asvu 52.8367 -27.36071 22.47 0.03 d - -
DES13X3pby 36.3333 -5.31408 23.83 0.05 c OzDES -
DES13X3aakf 35.71205 -4.69915 25.47 0.09 c OzDES -
DES13X2wvv 34.86526 -6.71603 21.9 0.03 0.47503 OzDES 4.5
DES13X2oyb 35.31056 -5.67893 22.92 0.06 c OzDES -
DES13X3alnb 37.18496 -5.14232 25.04 0.06 c OzDES -
DES15X3atd 35.84011 -4.29142 23.88 0.05 c OzDES -
DES14S2anq 41.27776 -0.74529 17.57 0.04 0.05211 OzDES 0.75
DES14E2xsm 9.67624 -43.58736 23.39 0.04 c OzDES -
DES14X1bnh 33.74902 -4.79254 21.95 0.04 0.82982 OzDES 3.5
DES14E1aqi 8.7397 -43.40182 25.62 0.24 d - -
DES15S1fli 43.1879 -0.8862 20.99 0.03 0.44739 OzDES 2.33
DES14C3gzj 52.57168 -28.14019 26.04 0.1 d - -
DES14X3pko 36.90824 -3.69642 24.48 0.06 d - -
DES15S1fll 42.78846 -0.19747 20.96 0.04 0.22647 OzDES 0.67
DES14C1jnd 54.35153 -27.493 24.33 0.09 c OzDES -
DES14X3pkl 37.21103 -4.80741 22.41 0.06 0.29537 OzDES 5.17
DES13X3npb 36.64218 -4.13381 20.79 0.05 0.49542 OzDES 5.17
DES15X2ead 36.48913 -6.45118 20.09 0.03 0.23175 OzDES 2.0
DES15C3edw 52.55235 -27.71022 22.69 0.03 d - -
DES14S2plb 41.85667 -1.61811 18.38 0.03 0.11531 OzDES 2.0
DES14S2pli 41.22837 -1.0983 20.87 0.03 0.35478 OzDES 3.42
DES15X3kyt 36.275 -5.41103 24.75 0.08 d - -
DES14C3tvw 53.3223 -27.90621 21.32 0.03 0.7039 ACES -
DES14C3tnz 52.86248 -28.51318 22.26 0.03 0.70452 OzDES 5.79
DES15X3mxf 36.74009 -5.23991 22.43 0.05 0.43673 OzDES 9.83
